Number,ProblemType,Problem,Solution
1_9,Sequences and Limits,"Given a positive sequence $\{a_n\}_{n \geq 0}$ satisfying $\sqrt{a_1} \geq \sqrt{a_0} + 1$ and
$$
\left| a_{n+1} - \frac{a_n^2}{a_{n-1}} \right| \leq 1
$$
for any positive integer $n$, show that
$$
\frac{a_{n+1}}{a_n}
$$
converges as $n \to \infty$. Show moreover that $a_n \theta^{-n}$ converges as $n \to \infty$, where $\theta$ is the limit of the sequence $a_{n+1}/a_n$.","We first show that
\[
\frac{a_{n+1}}{a_n} > 1 + \frac{1}{\sqrt{a_0}}
\tag{1.1}
\]
by induction on $n$. When $n=0$ this holds by the assumption. Put $\alpha = 1 + 1/\sqrt{a_0}$ for brevity. Suppose that (1.1) holds for $n \leq m$. We then have $a_k > \alpha^k a_0$ for $1 \leq k \leq m+1$. Thus
\[
\left| \frac{a_{m+2}}{a_{m+1}} - \frac{a_1}{a_0} \right| 
\leq \sum_{k=1}^{m+1} \left| \frac{a_{k+1}}{a_k} - \frac{a_k}{a_{k-1}} \right|
\leq \sum_{k=1}^{m+1} \frac{1}{a_k},
\]
which is less than
\[
\frac{1}{a_0} \sum_{k=1}^{m+1} \alpha^{-k} < \frac{1}{a_0(\alpha - 1)} = \frac{1}{\sqrt{a_0}}.
\]

Therefore
\[
\frac{a_{m+2}}{a_{m+1}} > \frac{a_1}{a_0} - \frac{1}{\sqrt{a_0}} > 1 + \frac{1}{\sqrt{a_0}};
\]
thus (1.1) holds also for $n=m+1$.

Let $p > q$ be any positive integers. In the same way,
\[
\left| \frac{a_{p+1}}{a_p} - \frac{a_{q+1}}{a_q} \right|
\leq \sum_{k=q+1}^p \left| \frac{a_{k+1}}{a_k} - \frac{a_k}{a_{k-1}} \right|
\leq \sum_{k=q+1}^p \frac{1}{a_k},
\]
which is less than
\[
\frac{1}{a_q} \sum_{k=1}^{p-q} \frac{1}{\alpha^k} < \frac{\sqrt{a_0}}{a_q}.
\]

This means that the sequence $\{a_{n+1}/a_n\}$ satisfies the Cauchy criterion since $a_q$ diverges to $\infty$ as $q \to \infty$. Letting $p \to \infty$ in the above inequalities, we get
\[
\left| \frac{a_{q+1}}{a_q} - \theta \right| \leq \frac{\sqrt{a_0}}{a_q}.
\]

Multiplying both sides by $a_q / \theta^{q+1}$, we have
\[
\left| \frac{a_{q+1}}{\theta^{q+1}} - \frac{a_q}{\theta^q} \right| 
\leq \frac{\sqrt{a_0}}{\theta^{q+1}},
\]
which shows that the sequence $\{a_n / \theta^n\}$ also satisfies the Cauchy criterion.
"
1_2,Sequences and Limits,"Prove that the sequence
$$
\left( \frac{1}{n} \right)^n + \left( \frac{2}{n} \right)^n + \cdots + \left( \frac{n}{n} \right)^n
$$
converges to $e / (e - 1)$ as $n \to \infty$.","Let $r_n$ and $\epsilon_n$ be the integral and fractional parts of the number $n! e$ respectively. Using the expansion
$$
e = 1 + \frac{1}{1!} + \frac{1}{2!} + \frac{1}{3!} + \cdots,
$$
we have
$$
\begin{cases}
r_n = n! \left( 1 + \frac{1}{1!} + \frac{1}{2!} + \cdots + \frac{1}{n!} \right) \\
\epsilon_n = \frac{1}{n+1} + \frac{1}{(n+1)(n+2)} + \cdots,
\end{cases}
$$
since
$$
\frac{1}{n+1} < \epsilon_n < \frac{1}{n+1} + \frac{1}{(n+1)^2} + \cdots = \frac{1}{n}.
$$

Thus $\sin(2n! e \pi) = \sin(2\pi \epsilon_n)$. Note that this implies the irrationality of $e$.

Since $n \epsilon_n$ converges to $1$ as $n \to \infty$, we have
$$
\lim_{n \to \infty} n \sin(2\pi \epsilon_n) = \lim_{n \to \infty} \frac{\sin(2\pi \epsilon_n)}{\epsilon_n} = 2\pi.
$$

Hence $n \sin(2n! e \pi)$ converges to $2\pi$ as $n \to \infty$."
1_7,Sequences and Limits,"For any $0 < \theta < \pi$ and any positive integer $n$, show the inequality
$$
\sin\theta + \frac{\sin 2\theta}{2} + \cdots + \frac{\sin n\theta}{n} > 0.
$$","Denote by $s_n(\theta)$ the left-hand side of the inequality to be shown. Write $\theta$ for $2\vartheta$ for brevity. Since
$$
s_n'(\theta) = \Re \left(e^{i\theta} + e^{2i\theta} + \cdots + e^{ni\theta} \right)
= \frac{\cos(n+1)\vartheta \sin n\vartheta}{\sin\vartheta},
$$
we obtain the candidates for extreme points of $s_n(\theta)$ on the interval $(0, \pi]$ by solving the equations $\cos(n+1)\vartheta = 0$ and $\sin n\vartheta = 0$, as follows:
$$
\frac{\pi}{n+1}, \frac{2\pi}{n}, \frac{3\pi}{n+1}, \frac{4\pi}{n}, \dots
$$
where the last two candidates are $(n-1)\pi/(n+1)$ and $\pi$ if $n$ is even, and $(n-1)\pi/n$ and $n\pi/(n+1)$ if $n$ is odd. In any case $s_n'(\theta)$ vanishes at least at $n$ points in the interval $(0, \pi)$.

Since $s_n'(\theta)$ can be expressed as a polynomial in $\cos\theta$ of degree $n$ and $\cos\theta$ maps the interval $[0, \pi]$ onto $[-1, 1]$ homeomorphically, this polynomial possesses at most $n$ real roots in $[-1, 1]$. Therefore all these roots must be simple and give the actual extreme points of $s_n(\theta)$ except for $\theta = \pi$. Clearly $s_n(\theta)$ is positive in the right neighborhood of the origin, and the maximal and minimal points stand in line alternately from left to right. Thus $s_n(\theta)$ attains its minimal values at the points $2\ell\pi/n \in (0, \pi)$ when $n \geq 3$. In the cases $n=1$ and $n=2$, however, $s_n(\theta)$ has no minimal points in $(0, \pi)$.

Now we will show that $s_n(\theta)$ is positive on the interval $(0, \pi)$ by induction on $n$. This is clear for $n=1$ and $n=2$ since $s_1(\theta) = \sin\theta$ and $s_2(\theta) = (1+\cos\theta)\sin\theta$. Suppose that $s_{n-1}(\theta) > 0$ for some $n \geq 3$. Then the minimal values of $s_n(\theta)$ are certainly attained at some points $2\ell\pi/n \in (0, \pi)$, whose values are
$$
s_n\left(\frac{2\ell\pi}{n}\right) = s_{n-1}\left(\frac{2\ell\pi}{n}\right) + \frac{\sin 2\ell\pi}{n}
= s_{n-1}\left(\frac{2\ell\pi}{n}\right) > 0.
$$

Therefore $s_n(\theta) > 0$ on the interval $(0, \pi)$.
"
1_1,Sequences and Limits,Prove that $n \sin(2n! e \pi)$ converges to $2\pi$ as $n \to \infty$.,"Let $r_n$ and $\epsilon_n$ be the integral and fractional parts of the number $n! e$ respectively. Using the expansion
$$
e = 1 + \frac{1}{1!} + \frac{1}{2!} + \frac{1}{3!} + \cdots,
$$
we have
$$
\begin{cases}
r_n = n! \left( 1 + \frac{1}{1!} + \frac{1}{2!} + \cdots + \frac{1}{n!} \right) \\
\epsilon_n = \frac{1}{n+1} + \frac{1}{(n+1)(n+2)} + \cdots,
\end{cases}
$$
since
$$
\frac{1}{n+1} < \epsilon_n < \frac{1}{n+1} + \frac{1}{(n+1)^2} + \cdots = \frac{1}{n}.
$$

Thus $\sin(2n! e \pi) = \sin(2\pi \epsilon_n)$. Note that this implies the irrationality of $e$.

Since $n \epsilon_n$ converges to $1$ as $n \to \infty$, we have
$$
\lim_{n \to \infty} n \sin(2\pi \epsilon_n) = \lim_{n \to \infty} \frac{\sin(2\pi \epsilon_n)}{\epsilon_n} = 2\pi.
$$

Hence $n \sin(2n! e \pi)$ converges to $2\pi$ as $n \to \infty$."
1_10,Sequences and Limits,"Let $E$ be any bounded closed set in the complex plane containing an infinite number of points, and let $M_n$ be the maximum of $|V(x_1, \dots, x_n)|$ as the points $x_1, \dots, x_n$ run through the set $E$, where
$$
V(x_1, \dots, x_n) = \prod_{1 \leq i < j \leq n} (x_i - x_j)
$$
is the Vandermonde determinant. Show that $M_n^{2/(n(n-1))}$ converges as $n \to \infty$.","Let $\xi_1, \dots, \xi_{n+1}$ be the points at which $|V(x_1, \dots, x_{n+1})|$ attains its maximum $M_{n+1}$. Since
\[
\frac{V(\xi_1, \dots, \xi_{n+1})}{V(\xi_1, \dots, \xi_n)} = (\xi_1 - \xi_{n+1}) \cdots (\xi_n - \xi_{n+1}),
\]
we have
\[
\frac{M_{n+1}}{M_n} \leq |\xi_1 - \xi_{n+1}| \cdots |\xi_n - \xi_{n+1}|.
\]

Applying the same argument to each point $\xi_1, \dots, \xi_n$, we get $n+1$ similar inequalities whose product gives
\[
\left( \frac{M_{n+1}}{M_n} \right)^{n+1} \leq \prod_{i \neq j} |\xi_i - \xi_j| = M_n^2.
\]

Hence the sequence $M_n^{2/(n(n-1))}$ is monotone decreasing."
2_10,Infinite Series,"The limit
\[
\gamma = \lim_{n \to \infty} \left( 1 + \frac{1}{2} + \cdots + \frac{1}{n} - \log n \right) 
= 0.5772156649015328606065120\ldots
\]
is called Euler's constant or sometimes the Euler-Mascheroni constant. Show that the following series converges to $\gamma$:
\[
\frac{1}{2} - \frac{1}{3} + 2 \left( \frac{1}{4} - \frac{1}{5} + \frac{1}{6} - \frac{1}{7} \right) 
+ 3 \left( \frac{1}{8} - \frac{1}{9} + \cdots - \frac{1}{15} \right) + \cdots.
\]","For brevity put
\[
\sigma_n = 1 - \frac{1}{2} + \frac{1}{3} - \cdots + \frac{1}{2n - 1} - \log 2
\]
for any positive integer $n$. It is easily seen that
\[
\sigma_1 + \sigma_2 + \cdots + \sigma_n = 1 + \frac{1}{2} + \cdots + \frac{1}{2n - 1} - n \log 2;
\]
therefore
\[
\gamma = \lim_{n \to \infty} (\sigma_1 + \sigma_2 + \cdots + \sigma_n).
\]
We have Vacca's formula by noticing that $\sigma_n = \tau_n + \tau_{n+1} + \cdots$, where
\[
\tau_n = \frac{1}{2^n} - \frac{1}{2^n + 1} + \frac{1}{2^n + 2} - \cdots - \frac{1}{2^{n+1} - 1}.
\]"
2_8,Infinite Series,"Suppose that $\sum_{n=1}^\infty a_n b_n$ converges for any sequence $\{b_n\}$ converging. 
Then show that $\sum_{n=1}^\infty a_n$ converges absolutely.","Without loss of generality, we can assume that $\{a_n\}$ is a non-negative sequence, since we can take $-b_n$ instead of $b_n$. Suppose, on the contrary, that the series $\sum a_n$ diverges to $\infty$. It follows from the result of \textbf{Problem 2.7} that
\[
\sum_{n=1}^\infty \frac{a_n}{a_1 + a_2 + \cdots + a_n} = \infty,
\]
contrary to the assumption since
\[
b_n = \frac{1}{a_1 + a_2 + \cdots + a_n}
\]
converges to $0$ as $n \to \infty$. \qed"
2_1,Infinite Series,"As is well-known, the harmonic series
\[
\frac{1}{1} + \frac{1}{2} + \frac{1}{3} + \cdots + \frac{1}{n} + \cdots
\]
diverges to $\infty$. Show, however, that the convergence of the subseries removing all terms containing the digit ""7"" in the decimal expression of the denominator.","Any integer in the interval $[10^{k-1}, 10^k)$ has $k$ digits in its decimal expansion. Among these there exist exactly $8 \cdot 9^{k-1}$ integers which do not contain the digit `7' in their decimal expansions. Thus the sum of the subseries defined in the problem, say $S$, can be estimated from above as
\[
S < \sum_{k=1}^\infty \frac{8 \cdot 9^{k-1}}{10^{k-1}} = 80.
\]
"
2_7,Infinite Series,"Suppose that $\{a_n\}_{n \geq 1}$ is a non-negative sequence satisfying $\sum_{n=1}^\infty a_n = \infty$.
Then show that the series
\[
\sum_{n=1}^\infty \frac{a_n}{\left(a_1 + a_2 + \cdots + a_n\right)^\alpha}
\]
converges when $\alpha > 1$, and diverges when $0 < \alpha \leq 1$.","Put $s_n = a_1 + a_2 + \cdots + a_n$. The convergence is clear when $\alpha > 1$, since
\[
\sum_{n=2}^\infty \frac{a_n}{s_n^\alpha} \leq \sum_{n=2}^\infty \int_{s_{n-1}}^{s_n} \frac{dx}{x^\alpha} = \int_{s_1}^\infty \frac{dx}{x^\alpha} < \infty.
\]

When $0 < \alpha \leq 1$, it suffices to consider the case $\alpha = 1$ since $s_n > 1$ for all sufficiently large $n$. Suppose first that $s_{n-1} < a_n$ for infinitely many $n$'s. We then have $a_n / s_n > 1/2$ for infinitely many $n$'s, which shows the divergence of the series. 

Consider next the case in which $s_{n-1} \geq a_n$ for all integers $n$ greater than some integer $N$. Then
\[
\sum_{n>N} \frac{a_n}{s_n} \geq \frac{1}{2} \sum_{n>N} \int_{s_{n-1}}^{s_n} \frac{dx}{x}
= \frac{1}{2} \int_{s_N}^\infty \frac{dx}{x} = \infty.
\]

Note that the divergence of the sequence $s_n$ is essential in the second case. \qed"
2_4,Infinite Series,"For any positive sequence $\{a_n\}_{n \geq 1}$ show the inequality
\[
\left( \sum_{n=1}^\infty a_n \right)^4 < \pi^2 \left( \sum_{n=1}^\infty a_n^2 \right) \left( \sum_{n=1}^\infty n^2 a^2_n \right).
\]

Prove further that the constant $\pi^2$ on the right-hand side cannot in general be replaced by any smaller number.","Put 
\[
\alpha = \sum_{n=1}^\infty a_n^2 \quad \text{and} \quad \beta = \sum_{n=1}^\infty n^2 a_n^2
\]
for brevity. We of course assume that $\beta$ is finite. Introducing two positive parameters $\sigma$ and $\tau$, we first write
\[
\left(\sum_{n=1}^\infty a_n\right)^2 = \left(\sum_{n=1}^\infty a_n \sqrt{\sigma + \tau n^2} \cdot \frac{1}{\sqrt{\sigma + \tau n^2}} \right)^2.
\]
Using the Cauchy-Schwarz inequality, this is less than or equal to
\[
\sum_{n=1}^\infty \frac{1}{\sigma + \tau n^2} \sum_{n=1}^\infty a_n^2 (\sigma + \tau n^2) = (\sigma \alpha + \beta \tau) \sum_{n=1}^\infty \frac{1}{\sigma + \tau n^2}.
\]
Since the function $1/(\sigma + \tau x^2)$ is monotone decreasing on $[0, \infty)$, we obtain
\[
\sum_{n=1}^\infty \frac{1}{\sigma + \tau n^2} < \int_0^\infty \frac{dx}{\sigma + \tau x^2} = \frac{\pi}{2 \sqrt{\sigma \tau}},
\]
which implies that
\[
\left(\sum_{n=1}^\infty a_n\right)^2 < \frac{\pi}{2} \cdot \frac{\sigma \alpha + \beta \tau}{\sqrt{\sigma \tau}}.
\]
The right-hand side attains its minimum $\pi \sqrt{\alpha \beta}$ at $\sigma / \tau = \beta / \alpha$.

To see that $\pi^2$ cannot be replaced by any smaller number, we take, for example,
\[
a_n = \frac{\sqrt{\rho}}{\rho + n^2}
\]
with a positive parameter $\rho$. It then follows from
\[
\sqrt{\rho} \int_1^\infty \frac{dx}{\rho + x^2} < \sum_{n=1}^\infty a_n < \sqrt{\rho} \int_0^\infty \frac{dx}{\rho + x^2}
\]
that
\[
\sum_{n=1}^\infty a_n = \frac{\pi}{2} + O\left(\frac{1}{\sqrt{\rho}}\right)
\]
as $\rho \to \infty$. Similarly, we have
\[
\sum_{n=1}^\infty a_n^2 = \frac{\pi}{4 \sqrt{\rho}} + O\left(\frac{1}{\rho}\right)
\]
and
\[
\sum_{n=1}^\infty n^2 a_n^2 = \sqrt{\rho} \sum_{n=1}^\infty a_n - \rho \sum_{n=1}^\infty a_n^2 = \frac{\pi}{4} \sqrt{\rho} + O(1),
\]
which imply that
\[
\left(\sum_{n=1}^\infty a_n\right)^4 = \frac{\pi^4}{16} + O\left(\frac{1}{\sqrt{\rho}}\right),
\]
and
\[
\sum_{n=1}^\infty a_n^2 \sum_{n=1}^\infty n^2 a_n^2 = \frac{\pi^2}{16} + O\left(\frac{1}{\sqrt{\rho}}\right)
\]
as $\rho \to \infty$."
